# y(um),z(pm)
-1.292792792792792795e+02,-8.409590265384283114e+00
-1.289789789789789722e+02,-8.523552247448710872e+00
-1.286786786786786649e+02,-8.637177060265944561e+00
-1.283783783783783576e+02,-8.750460209138090306e+00
-1.280780780780780788e+02,-8.863397212882524911e+00
-1.277777777777777573e+02,-8.975983604009247330e+00
-1.274774774774774784e+02,-9.088214928897542677e+00
-1.271771771771771711e+02,-9.200086747972221701e+00
-1.268768768768768780e+02,-9.311594635879133719e+00
-1.265765765765765707e+02,-9.422734181660356256e+00
-1.262762762762762492e+02,-9.533500988928555131e+00
-1.259759759759759703e+02,-9.643890676040955512e+00
-1.256756756756756772e+02,-9.753898876272689478e+00
-1.253753753753753699e+02,-9.863521237989484547e+00
-1.250750750750750484e+02,-9.972753424819835288e+00
-1.247747747747747695e+02,-1.008159111582649814e+01
-1.244744744744744480e+02,-1.019003000567746753e+01
-1.241741741741741691e+02,-1.029806580481625744e+01
-1.238738738738738618e+02,-1.040569423963158258e+01
-1.235735735735735688e+02,-1.051291105262640713e+01
-1.232732732732732615e+02,-1.061971200258640735e+01
-1.229729729729729684e+02,-1.072609286474764900e+01
-1.226726726726726611e+02,-1.083204943096380823e+01
-1.223723723723723680e+02,-1.093757750987254695e+01
-1.220720720720720607e+02,-1.104267292706141035e+01
-1.217717717717717534e+02,-1.114733152523284154e+01
-1.214714714714714603e+02,-1.125154916436873798e+01
-1.211711711711711530e+02,-1.135532172189416045e+01
-1.208708708708708599e+02,-1.145864509284040267e+01
-1.205705705705705668e+02,-1.156151519000741779e+01
-1.202702702702702595e+02,-1.166392794412546863e+01
-1.199699699699699664e+02,-1.176587930401610294e+01
-1.196696696696696591e+02,-1.186736523675240029e+01
-1.193693693693693660e+02,-1.196838172781853693e+01
-1.190690690690690587e+02,-1.206892478126852453e+01
-1.187687687687687514e+02,-1.216899041988434860e+01
-1.184684684684684584e+02,-1.226857468533323470e+01
-1.181681681681681511e+02,-1.236767363832431066e+01
-1.178678678678678580e+02,-1.246628335876433091e+01
-1.175675675675675507e+02,-1.256439994591285014e+01
-1.172672672672672576e+02,-1.266201951853642171e+01
-1.169669669669669503e+02,-1.275913821506224188e+01
-1.166666666666666714e+02,-1.285575219373078149e+01
-1.163663663663663499e+02,-1.295185763274788293e+01
-1.160660660660660710e+02,-1.304745073043582160e+01
-1.157657657657657495e+02,-1.314252770538377213e+01
-1.154654654654654564e+02,-1.323708479659736170e+01
-1.151651651651651491e+02,-1.333111826364743990e+01
-1.148648648648648560e+02,-1.342462438681805637e+01
-1.145645645645645487e+02,-1.351759946725358041e+01
-1.142642642642642556e+02,-1.361003982710505333e+01
-1.139639639639639626e+02,-1.370194180967562048e+01
-1.136636636636636553e+02,-1.379330177956523684e+01
-1.133633633633633622e+02,-1.388411612281444896e+01
-1.130630630630630549e+02,-1.397438124704734363e+01
-1.127627627627627618e+02,-1.406409358161367962e+01
-1.124624624624624403e+02,-1.415324957773009729e+01
-1.121621621621621614e+02,-1.424184570862050947e+01
-1.118618618618618399e+02,-1.432987846965566447e+01
-1.115615615615615610e+02,-1.441734437849170014e+01
-1.112612612612612395e+02,-1.450423997520794650e+01
-1.109609609609609606e+02,-1.459056182244376743e+01
-1.106606606606606533e+02,-1.467630650553456029e+01
-1.103603603603603602e+02,-1.476147063264677861e+01
-1.100600600600600529e+02,-1.484605083491218913e+01
-1.097597597597597456e+02,-1.493004376656104526e+01
-1.094594594594594525e+02,-1.501344610505448429e+01
-1.091591591591591452e+02,-1.509625455121597781e+01
-1.088588588588588522e+02,-1.517846582936178024e+01
-1.085585585585585449e+02,-1.526007668743054779e+01
-1.082582582582582518e+02,-1.534108389711197340e+01
-1.079579579579579445e+02,-1.542148425397449607e+01
-1.076576576576576514e+02,-1.550127457759202976e+01
-1.073573573573573583e+02,-1.558045171166982001e+01
-1.070570570570570510e+02,-1.565901252416925971e+01
-1.067567567567567437e+02,-1.573695390743180589e+01
-1.064564564564564506e+02,-1.581427277830187172e+01
-1.061561561561561433e+02,-1.589096607824887286e+01
-1.058558558558558502e+02,-1.596703077348812094e+01
-1.055555555555555429e+02,-1.604246385510088047e+01
-1.052552552552552498e+02,-1.611726233915337758e+01
-1.049549549549549425e+02,-1.619142326681487987e+01
-1.046546546546546494e+02,-1.626494370447465343e+01
-1.043543543543543421e+02,-1.633782074385811001e+01
-1.040540540540540491e+02,-1.641005150214175501e+01
-1.037537537537537418e+02,-1.648163312206728648e+01
-1.034534534534534487e+02,-1.655256277205462467e+01
-1.031531531531531414e+02,-1.662283764631386873e+01
-1.028528528528528483e+02,-1.669245496495634384e+01
-1.025525525525525410e+02,-1.676141197410452577e+01
-1.022522522522522479e+02,-1.682970594600100256e+01
-1.019519519519519406e+02,-1.689733417911635982e+01
-1.016516516516516475e+02,-1.696429399825604634e+01
-1.013513513513513402e+02,-1.703058275466622362e+01
-1.010510510510510329e+02,-1.709619782613852124e+01
-1.007507507507507540e+02,-1.716113661711375116e+01
-1.004504504504504325e+02,-1.722539655878461673e+01
-1.001501501501501536e+02,-1.728897510919729896e+01
-9.984984984984983214e+01,-1.735186975335203030e+01
-9.954954954954955326e+01,-1.741407800330254929e+01
-9.924924924924923175e+01,-1.747559739825457115e+01
-9.894894894894895288e+01,-1.753642550466306815e+01
-9.864864864864863137e+01,-1.759655991632859084e+01
-9.834834834834835249e+01,-1.765599825449239191e+01
-9.804804804804803098e+01,-1.771473816793059086e+01
-9.774774774774773789e+01,-1.777277733304711660e+01
-9.744744744744744480e+01,-1.783011345396568004e+01
